PT	AU	BA	CA	GP	RI	OI	BE	Z2	AU	AA	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	VN	VH	DI	D2	L1	L2	L3	EA	SU	DT	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	G1	NR	CR	LA	AS	AC	CG	DG	C1	C3	EC	DE	DA	UT	PM	
J	McBrier, DB										Women's working lives in East Asia								AMERICAN JOURNAL OF SOCIOLOGY				109	3			795	796				10.1086/382009							Book Review	NOV 2003	2003										0	0	0	0	0	0	0			0002-9602															2003-11-01	WOS:000187724300028		
J	McQuillan, J; Greil, AL; White, L; Jacob, MC										Frustrated fertility: Infertility and psychological distress among women								JOURNAL OF MARRIAGE AND FAMILY				65	4			1007	1018				10.1111/j.1741-3737.2003.01007.x							Article	NOV 2003	2003										132	0	0	0	17	0	197			0022-2445															2003-11-01	WOS:000186612200018		
J	Miller, PJE; Caughlin, JP; Huston, TL										Trait expressiveness and marital satisfaction: The role of idealization processes								JOURNAL OF MARRIAGE AND FAMILY				65	4			978	995				10.1111/j.1741-3737.2003.00978.x							Article	NOV 2003	2003										38	1	0	0	1	1	62			0022-2445															2003-11-01	WOS:000186612200016		
J	Mintz, S										Symbolic childhood								JOURNAL OF MARRIAGE AND FAMILY				65	4			1087	1088											Book Review	NOV 2003	2003										0	0	0	0	0	0	0			0022-2445															2003-11-01	WOS:000186612200029		
J	Oropesa, RS; Landale, NS; Kenkre, T					Oropesa, Sal/0000-0002-1429-9897					Income allocation in marital and cohabiting unions: The case of mainland Puerto Ricans								JOURNAL OF MARRIAGE AND FAMILY				65	4			910	926				10.1111/j.1741-3737.2003.00910.x							Article	NOV 2003	2003										38	1	0	0	1	0	48			0022-2445	1741-3737														2003-11-01	WOS:000186612200011		
J	Prechel, H				Prechel, Harland/AGK-7596-2022						Corporate power, American democracy, and the automobile industry								AMERICAN JOURNAL OF SOCIOLOGY				109	3			770	772				10.1086/381996							Book Review	NOV 2003	2003										0	0	0	0	0	0	0			0002-9602															2003-11-01	WOS:000187724300015		
J	Psathas, G										Ethnomethodology's program: Working out Durkheim's aphorism								AMERICAN JOURNAL OF SOCIOLOGY				109	3			753	755				10.1086/381988							Book Review	NOV 2003	2003										1	0	0	0	0	0	1			0002-9602															2003-11-01	WOS:000187724300006		
J	Rodriguez, CM					Rodriguez, Christina/0000-0002-5090-0707					Parental discipline and abuse potential affects on child depression, anxiety, and attributions								JOURNAL OF MARRIAGE AND FAMILY				65	4			809	817				10.1111/j.1741-3737.2003.00809.x							Article	NOV 2003	2003										59	0	0	0	8	1	75			0022-2445															2003-11-01	WOS:000186612200004		
J	Rogers, ML; Hogan, DP				Rogers, Mary-Louise/A-4910-2008						Family life with children with disabilities: The key role of rehabilitation								JOURNAL OF MARRIAGE AND FAMILY				65	4			818	833				10.1111/j.1741-3737.2003.00818.x							Article; Proceedings Paper	NOV 2003	2003						Annual Meeting of the Population-Association-of-AmericaAnnual Meeting of the Population-Association-of-America	MAR 23-26, 2000MAR 23-26, 2000	Populat Assoc AmerPopulat Assoc Amer	LOS ANGELES, CALOS ANGELES, CA	35	0	0	0	5	0	45			0022-2445	1741-3737														2003-11-01	WOS:000186612200005		
J	Schmitz, MF										Influences of race and family environment on child hyperactivity and antisocial behavior								JOURNAL OF MARRIAGE AND FAMILY				65	4			835	849				10.1111/j.1741-3737.2003.00835.x							Article	NOV 2003	2003										12	0	0	0	1	0	25			0022-2445	1741-3737														2003-11-01	WOS:000186612200006		
J	Schoen, R; Tufis, P				Tufis, Paula/C-5359-2009	Tufis, Paula/0000-0002-4113-4545					Precursors of nonmarital fertility in the United States								JOURNAL OF MARRIAGE AND FAMILY				65	4			1030	1040				10.1111/j.1741-3737.2003.01030.x							Article	NOV 2003	2003										18	0	0	0	2	0	25			0022-2445	1741-3737														2003-11-01	WOS:000186612200020		
J	Shachar, A										Challenging ethnic citizenship: German and Israeli perspectives on immigration								AMERICAN JOURNAL OF SOCIOLOGY				109	3			785	787				10.1086/382004							Book Review	NOV 2003	2003										0	0	0	0	0	0	0			0002-9602															2003-11-01	WOS:000187724300023		
J	Shafer, BE										Rich democracies: Political economy, public policy, and performance								AMERICAN JOURNAL OF SOCIOLOGY				109	3			760	762				10.1086/381992							Book Review	NOV 2003	2003										0	0	0	0	0	0	0			0002-9602															2003-11-01	WOS:000187724300010		
J	Shanley, ML										Infertility around the globe: New thinking on childlessness, gender, and reproductive technologies.								JOURNAL OF MARRIAGE AND FAMILY				65	4			1088	1089											Book Review	NOV 2003	2003										0	0	0	0	0	0	0			0022-2445															2003-11-01	WOS:000186612200030		
J	Smilde, D										From peasant struggles to Indian resistance: The Ecuadorian Andes in the late twentieth century								AMERICAN JOURNAL OF SOCIOLOGY				109	3			789	791				10.1086/382006							Book Review	NOV 2003	2003										0	0	0	0	0	0	0			0002-9602															2003-11-01	WOS:000187724300025		
J	Soares, JA										Tuition rising: Why college costs so much								AMERICAN JOURNAL OF SOCIOLOGY				109	3			780	781				10.1086/382001							Book Review	NOV 2003	2003										0	0	0	0	0	0	0			0002-9602															2003-11-01	WOS:000187724300020		
