PT	AU	BA	CA	GP	RI	OI	BE	Z2	AU	AA	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	VN	VH	DI	D2	L1	L2	L3	EA	SU	DT	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	G1	NR	CR	LA	AS	AC	CG	DG	C1	C3	EC	DE	DA	UT	PM	
J	Abbasi-Shavazi, Mohammad Jalal; Morgan, S. Philip; Hossein-Chavoshi, Meimanat; McDonald, Peter					McDonald, Peter/0000-0001-5579-0335; Hosseini-Chavoshi, Meimanat/0000-0003-0825-418X; Abbasi-Shavazi, Mohammad Jalal/0000-0002-8647-376X					Family Change and Continuity in Iran: Birth Control Use Before First Pregnancy								JOURNAL OF MARRIAGE AND FAMILY				71	5			1309	1324				10.1111/j.1741-3737.2009.00670.x							Article	DEC 2009	2009										29	0	0	0	2	0	31			0022-2445	1741-3737														2009-12-01	WOS:000272344500013	20376280	
J	Abrutyn, Seth					Abrutyn, Seth/0000-0001-6220-3362					Toward a General Theory of Institutional Autonomy								SOCIOLOGICAL THEORY				27	4			449	465				10.1111/j.1467-9558.2009.01358.x							Article	DEC 2009	2009										39	0	1	0	1	1	48			0735-2751	1467-9558														2009-12-01	WOS:000272132300007		
J	Aguilera, Michael B.										Chinese Human Smuggling Organizations: Families, Social Networks, and Cultural Imperatives								SOCIAL FORCES				88	2			982	984				10.1353/sof.0.0272							Book Review	DEC 2009	2009										0	0	0	0	0	0	0			0037-7732															2009-12-01	WOS:000273512000021		
J	Aisenbrey, Silke; Evertsson, Marie; Grunow, Daniela					Evertsson, Marie/0000-0001-8218-9342					Is There a Career Penalty for Mothers' Time Out? A Comparison of Germany, Sweden and the United States								SOCIAL FORCES				88	2			573	605											Article	DEC 2009	2009										219	0	0	0	4	0	262			0037-7732	1534-7605														2009-12-01	WOS:000273512000004		
J	Allen, Michael										The Civil Sphere								SOCIAL FORCES				88	2			984	985											Book Review	DEC 2009	2009										1	0	0	0	0	0	1			0037-7732															2009-12-01	WOS:000273512000022		
J	Aneesh, A.										Global Labor: Algocratic Modes of Organization								SOCIOLOGICAL THEORY				27	4			347	370				10.1111/j.1467-9558.2009.01352.x							Article	DEC 2009	2009										118	1	3	0	1	1	131			0735-2751	1467-9558														2009-12-01	WOS:000272132300001		
J	Burton, Linda M.; Cherlin, Andrew; Winn, Donna-Marie; Estacion, Angela; Holder-Taylor, Clara										The Role of Trust in Low-Income Mothers' Intimate Unions								JOURNAL OF MARRIAGE AND FAMILY				71	5			1107	1124				10.1111/j.1741-3737.2009.00658.x							Article	DEC 2009	2009										48	0	0	0	1	0	68			0022-2445	1741-3737														2009-12-01	WOS:000272344500001	19966929	
J	Campbell, Colin										Distinguishing the Power of Agency from Agentic Power: A Note on Weber and the "Black Box" of Personal Agency								SOCIOLOGICAL THEORY				27	4			407	418				10.1111/j.1467-9558.2009.01355.x							Article	DEC 2009	2009										90	0	0	0	4	1	123			0735-2751	1467-9558														2009-12-01	WOS:000272132300004		
J	Carnabuci, Gianluca; Bruggeman, Jeroen				Bruggeman, Jeroen/F-2918-2013; Carnabuci, Gianluca/AAL-6468-2021; Carnabuci, Gianluca/U-6260-2017	Carnabuci, Gianluca/0000-0003-1069-3923					Knowledge Specialization, Knowledge Brokerage and the Uneven Growth of Technology Domains								SOCIAL FORCES				88	2			607	641											Review	DEC 2009	2009										109	10	1	0	9	1	125			0037-7732	1534-7605														2009-12-01	WOS:000273512000005		
J	Chen, Juan; Gee, Gilbert C.; Spencer, Michael S.; Danziger, Sheldon H.; Takeuchi, David T.				CHEN, Juan/O-6169-2019; Gee, Gilbert/ISB-3129-2023; CHEN, Juan/H-9617-2016	CHEN, Juan/0000-0002-1038-4162; Spencer, Michael/0000-0002-6182-5706					Perceived social standing among Asian immigrants in the US: Do reasons for immigration matter?								SOCIAL SCIENCE RESEARCH				38	4			858	869				10.1016/j.ssresearch.2009.06.003							Article	DEC 2009	2009										23	0	0	0	2	0	40			0049-089X	1096-0317														2009-12-01	WOS:000207916000008	20160989	
J	Collet, Francois				Collet, Francois/ABF-9395-2020						Does Habitus Matter?: A Comparative Review of Bourdieu's Habitus and Simon's Bounded Rationality with Some Implications for Economic Sociology								SOCIOLOGICAL THEORY				27	4			419	434				10.1111/j.1467-9558.2009.01356.x							Article	DEC 2009	2009										19	0	0	0	0	0	33			0735-2751	1467-9558														2009-12-01	WOS:000272132300005		
J	Creighton, Mathew J.; Park, Hyunjoon; Teruel, Graciela M.				Creighton, Mathew Jamieson/P-8302-2018	Creighton, Mathew Jamieson/0000-0002-1596-6049; Teruel, Graciela M/0000-0002-4768-8610					The Role of Migration and Single Motherhood in Upper Secondary Education in Mexico								JOURNAL OF MARRIAGE AND FAMILY				71	5			1325	1339				10.1111/j.1741-3737.2009.00671.x							Article	DEC 2009	2009										43	0	0	0	0	0	54			0022-2445	1741-3737														2009-12-01	WOS:000272344500014		
J	Crowley, Jocelyn Elise										Fathers' Rights Groups, Domestic Violence and Political Countermobilization								SOCIAL FORCES				88	2			723	755											Review	DEC 2009	2009										24	0	0	0	0	0	30			0037-7732	1534-7605														2009-12-01	WOS:000273512000009		
J	Cullen, Pauline P.				Cullen, Pauline/AAA-8753-2019						Beyond the Boycott: Labor Rights, Human Rights and Transnational Activism								SOCIAL FORCES				88	2			989	991				10.1353/sof.0.0261							Book Review	DEC 2009	2009										0	0	0	0	0	0	1			0037-7732															2009-12-01	WOS:000273512000025		
J	de Santos, Martin										Fact-Totems and the Statistical Imagination: The Public Life of a Statistic in Argentina 2001								SOCIOLOGICAL THEORY				27	4			466	489				10.1111/j.1467-9558.2009.01359.x							Article	DEC 2009	2009										34	0	0	0	0	0	43			0735-2751	1467-9558														2009-12-01	WOS:000272132300008		
J	DeVault, Marjorie L.										Feminist Fieldwork Analysis								SOCIAL FORCES				88	2			1000	1002				10.1353/sof.0.0259							Book Review	DEC 2009	2009										0	0	0	0	0	0	0			0037-7732	1534-7605														2009-12-01	WOS:000273512000031		
J	Dew, Jeffrey										Has the Marital Time Cost of Parenting Changed Over Time?								SOCIAL FORCES				88	2			519	541											Article	DEC 2009	2009										27	0	0	0	0	0	36			0037-7732	1534-7605														2009-12-01	WOS:000273512000002		
J	Dinovitzer, Ronit; Reichman, Nancy; Sterling, Joyce										The Differential Valuation of Women's Work: A New Look at the Gender Gap in Lawyers' Incomes								SOCIAL FORCES				88	2			819	864											Review	DEC 2009	2009										60	0	0	0	0	0	81			0037-7732															2009-12-01	WOS:000273512000012		
J	Dodson, Kyle										The American Voter, Revisited								SOCIAL FORCES				88	2			986	987											Book Review	DEC 2009	2009										0	0	0	0	0	0	0			0037-7732															2009-12-01	WOS:000273512000023		
J	Dumais, Susan A.										The academic attitudes of American teenagers, 1990-2002: Cohort and gender effects on math achievement								SOCIAL SCIENCE RESEARCH				38	4			767	780				10.1016/j.ssresearch.2009.05.010							Article	DEC 2009	2009										11	0	0	0	0	0	24			0049-089X															2009-12-01	WOS:000207916000002		
J	Ewert, Stephanie										Student misbehavior during senior year: A comparison of immigrants and the native-born								SOCIAL SCIENCE RESEARCH				38	4			826	839				10.1016/j.ssresearch.2009.04.004							Article	DEC 2009	2009										15	0	0	0	0	0	23			0049-089X	1096-0317														2009-12-01	WOS:000207916000006		
J	Fingerman, Karen; Miller, Laura; Birditt, Kira; Zarit, Steven										Giving to the Good and the Needy: Parental Support of Grown Children								JOURNAL OF MARRIAGE AND FAMILY				71	5			1220	1233				10.1111/j.1741-3737.2009.00665.x							Article	DEC 2009	2009										266	0	0	0	9	0	324			0022-2445	1741-3737														2009-12-01	WOS:000272344500008	20161599	
J	Garasky, Steven; Stewart, Susan D.; Gundersen, Craig; Lohman, Brenda J.; Eisenmann, Joey C.										Family stressors and child obesity								SOCIAL SCIENCE RESEARCH				38	4			755	766				10.1016/j.ssresearch.2009.06.002							Article	DEC 2009	2009										107	0	0	0	30	0	139			0049-089X	1096-0317														2009-12-01	WOS:000207916000001	20645439	
J	Godart, Frederic C.; Mears, Ashley				Godart, Frederic/A-1927-2017	Godart, Frederic/0000-0001-7530-8577					How Do Cultural Producers Make Creative Decisions? Lessons from the Catwalk								SOCIAL FORCES				88	2			671	692				10.1353/sof.0.0266							Article	DEC 2009	2009										101	0	1	0	1	0	125			0037-7732	1534-7605														2009-12-01	WOS:000273512000007		
J	Goldrick-Rab, Sara										Passing the Torch: Does Higher Education for the Disadvantaged Pay Off Across the Generations?								SOCIAL FORCES				88	2			979	980											Book Review	DEC 2009	2009										0	0	0	0	0	0	1			0037-7732															2009-12-01	WOS:000273512000019		
J	Gould, Mark										Culture, Personality, and Emotion in George Herbert Mead: A Critique of Empiricism in Cultural Sociology								SOCIOLOGICAL THEORY				27	4			435	448				10.1111/j.1467-9558.2009.01357.x							Article	DEC 2009	2009										6	0	0	0	0	0	8			0735-2751	1467-9558														2009-12-01	WOS:000272132300006		
J	Harasymchuk, Cheryl										Rethinking Friendship: Hidden Solidarities Today								JOURNAL OF MARRIAGE AND FAMILY				71	5			1349	1350				10.1111/j.1741-3737.2009.00673.x							Book Review	DEC 2009	2009										0	0	0	0	0	0	0			0022-2445															2009-12-01	WOS:000272344500016		
J	Harding, David J.										Collateral Consequences of Violence in Disadvantaged Neighborhoods								SOCIAL FORCES				88	2			757	784				10.1353/sof.0.0281							Article	DEC 2009	2009										107	0	0	0	5	1	167			0037-7732															2009-12-01	WOS:000273512000010	20676355	
J	Hirschman, Charles; Mogford, Elizabeth										Immigration and the American industrial revolution from 1880 to 1920								SOCIAL SCIENCE RESEARCH				38	4			897	920				10.1016/j.ssresearch.2009.04.001							Article	DEC 2009	2009										52	0	1	0	1	1	93			0049-089X	1096-0317														2009-12-01	WOS:000207916000011	20160966	
J	Hopcroft, Rosemary L.										The Evolved Actor in Sociology								SOCIOLOGICAL THEORY				27	4			390	406				10.1111/j.1467-9558.2009.01354.x							Article	DEC 2009	2009										6	0	1	0	0	0	7			0735-2751	1467-9558														2009-12-01	WOS:000272132300003		
J	Huang, Min-Hsiung										Classroom homogeneity and the distribution of student math performance: A country-level fixed-effects analysis								SOCIAL SCIENCE RESEARCH				38	4			781	791				10.1016/j.ssresearch.2009.05.001							Article	DEC 2009	2009										28	0	0	0	0	0	40			0049-089X															2009-12-01	WOS:000207916000003		
J	Ignatow, Gabriel				Ignatow, Gabe/AAT-9418-2021						Culture and Embodied Cognition: Moral Discourses in Internet Support Groups for Overeaters								SOCIAL FORCES				88	2			643	669											Article	DEC 2009	2009										55	0	0	0	0	5	76			0037-7732	1534-7605														2009-12-01	WOS:000273512000006		
J	Isaac, Larry										Movements, Aesthetics, and Markets in Literary Change: Making the American Labor Problem Novel								AMERICAN SOCIOLOGICAL REVIEW				74	6			938	965				10.1177/000312240907400605							Review	DEC 2009	2009										43	0	1	0	0	0	53			0003-1224	1939-8271														2009-12-01	WOS:000273193600005		
J	Jansen, Mieke; Mortelmans, Dimitri; Snoeckx, Laurent				Mortelmans, Dimitri/B-3860-2010						Repartnering and (Re)employment: Strategies to Cope With the Economic Consequences of Partnership Dissolution								JOURNAL OF MARRIAGE AND FAMILY				71	5			1271	1293				10.1111/j.1741-3737.2009.00668.x							Article	DEC 2009	2009										52	0	0	0	1	0	56			0022-2445	1741-3737														2009-12-01	WOS:000272344500011		
J	Jerolmack, Colin										Humans, Animals, and Play: Theorizing Interaction When Intersubjectivity is Problematic								SOCIOLOGICAL THEORY				27	4			371	389				10.1111/j.1467-9558.2009.01353.x							Article	DEC 2009	2009										52	0	0	0	3	1	60			0735-2751	1467-9558														2009-12-01	WOS:000272132300002		
