artid,journal,volume,issue,year,month,pages,cited3,cited2012,aut_num,ack_num,com_num,aut_cluster,ack_cluster,com_cluster,bip_cluster,aut_jaccard,ack_jaccard,com_jaccard,aut_density,ack_density,com_density,bip_density,aut_avgdegree,ack_avgdegree,com_avgdegree,bip_avgdegree,aut_flowhier,ack_flowhier,com_flowhier,aut_numcomp,ack_numcomp,com_numcomp,bip_numcomp

1,annurevisoci,35,1,2009,6,1-19,0,0,1,0,1,99,99,99,0.0,99,99,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,0,1,1

2,annurevisoci,35,1,2009,6,21-42,15,15,1,0,1,99,99,99,0.0,99,99,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,0,1,1

3,annurevisoci,35,1,2009,6,43-65,17,21,2,7,9,99,0.238095238095,0.296296296296,0.0,0.0608695652174,0.0712792776811,0.067254092195,0.5,0.238095238095,0.25,0.5,0.5,1.42857142857,2.0,0.777777777778,1.0,0.2,0.277777777778,1,3,3,5

4,annurevisoci,35,1,2009,6,67-85,6,7,1,2,3,99,99,0.0,0.0,99,0.0555555555556,0.0185185185185,0.0,0.0,0.333333333333,1.0,0.0,0.0,0.666666666667,0.666666666667,99,99,0.0,1,2,2,2

5,annurevisoci,35,1,2009,6,87-105,18,18,2,0,2,99,99,99,0.0,0.0,99,0.0,1.5,0.0,1.5,0.0,1.5,0.0,1.5,0.0,0.0,99,0.0,1,0,1,2

6,annurevisoci,35,1,2009,6,107-128,11,13,2,1,3,99,99,0.0,0.0,0.0263157894737,99,0.0647243107769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,2,1,3,3

7,annurevisoci,35,1,2009,6,129-146,7,7,2,0,2,99,99,99,0.0,0.5,99,0.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,99,0.0,1,0,1,2

8,annurevisoci,35,1,2009,6,147-165,10,11,1,0,1,99,99,99,0.0,99,99,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,0,1,1

9,annurevisoci,35,1,2009,6,167-189,5,5,2,2,4,99,99,0.0,0.0,0.0833333333333,0.1,0.094426683717,0.0,0.0,0.166666666667,0.5,0.0,0.0,0.5,0.5,99,99,1.0,2,2,3,3

10,annurevisoci,35,1,2009,6,191-212,20,23,1,0,1,99,99,99,0.0,99,99,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,0,1,1

11,annurevisoci,35,1,2009,6,213-234,12,14,1,0,1,99,99,99,0.0,99,99,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,0,1,1

12,annurevisoci,35,1,2009,6,235-254,0,0,1,0,1,99,99,99,0.0,99,99,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,0,1,1

