egoname,author,num_acknowledged,num_authored,indegree,outdegree,total_coauthors,unique_coauthors,citation,z_score,mentor_index,avg_coauth_per_article,log_citation,log_ack,log_coauthor,log_z,ack_sq,N_only_coauth,N_only_ack
Zan Strabac,Zan Strabac,0,1,0,0,1,1,226.0,-0.4204259007880668,0.0,1.0,5.424950017481403,0.0,0.6931471805599453,-0.5454617568841308,0,1.0,0.0
Sarah R. Crissey,Sarah R. Crissey,2,3,5,4,4,3,239.0,-0.23278936842178602,-3.0,1.3333333333333333,5.480638923341991,1.0986122886681098,1.3862943611198906,-0.26499389787308797,4,2.0,3.0
Peter L. Callero,Peter L. Callero,2,1,4,1,0,0,132.0,0.08792232152015429,0.0,0.0,4.890349128221754,1.0986122886681098,0.0,0.08426975022333642,4,0.0,1.0
Edward D. Lowe,Edward D. Lowe,0,1,0,1,3,3,71.0,0.01082027699001046,-0.666666666667,3.0,4.276666119016055,0.0,1.3862943611198906,0.010762156669052423,0,3.0,1.0
N. Anand,N. Anand,1,1,2,15,1,1,269.0,-0.1711649603764526,-1.0,1.0,5.598421958998375,0.6931471805599453,0.6931471805599453,-0.1877341308325244,1,1.0,15.0
Monica Prasad,Monica Prasad,3,2,5,7,1,1,60.0,-0.040825347881564604,1.0,0.5,4.110873864173311,1.3862943611198906,0.6931471805599453,-0.04168210168302448,9,1.0,7.0
Yuval Kalish,Yuval Kalish,0,2,0,1,4,3,1015.0,-0.4545902003689368,-5.0,2.0,6.923628628138427,0.0,1.3862943611198906,-0.6062178409450064,0,3.0,1.0
Richard Harvey Brown,Richard Harvey Brown,1,1,1,0,1,1,8.0,0.03132575500464301,0.0,1.0,2.1972245773362196,0.6931471805599453,0.6931471805599453,0.030845115367185916,1,1.0,0.0
Barry Wellman,Barry Wellman,6,2,11,0,3,3,102.0,-0.07639328573650235,0.666666666667,1.5,4.634728988229636,1.9459101490553132,1.3862943611198906,-0.07946893186224226,36,3.0,0.0
Nicole Kangas,Nicole Kangas,0,2,0,17,4,4,19.0,-0.03465660737968999,-2.75,2.0,2.995732273553991,0.0,1.6094379124341003,-0.03527139366684402,0,4.0,17.0
Allen P. Fisher,Allen P. Fisher,0,1,0,0,0,0,92.0,-0.26050443166327253,0.0,0.0,4.532599493153256,0.0,0.0,-0.30178698963256934,0,,
Christina M. Rodriguez,Christina M. Rodriguez,0,1,0,0,0,0,47.0,0.06348447643934443,0.0,0.0,3.871201010907891,0.0,0.0,0.06155075887963783,0,,
Kathryn Hynes,Kathryn Hynes,0,1,0,0,1,1,78.0,-0.12054850092035344,0.0,1.0,4.3694478524670215,0.0,0.6931471805599453,-0.12845686234030457,0,1.0,0.0
Jonathon N. Cummings,Jonathon N. Cummings,0,2,0,0,2,2,245.0,-0.16191984458111985,0.5,1.0,5.5053315359323625,0.0,1.0986122886681098,-0.17664153221645343,0,2.0,0.0
Belinda Hewitt,Belinda Hewitt,0,4,0,3,5,4,255.0,-0.27454898794098764,2.75,1.25,5.545177444479562,0.0,1.6094379124341003,-0.3209617319438609,0,2.0,1.0
King To Yeung,,1,3,1,5,2,1,130.0,0.009468047906027515,-5.0,0.6666666666666666,4.875197323201151,0.6931471805599453,0.6931471805599453,0.009423506864219723,1,,
Gokce Yurdakul,Gökçe Yurdakul,0,1,0,1,2,2,231.0,-0.18201148182091373,-1.0,2.0,5.44673737166631,0.0,1.0986122886681098,-0.20090697893378673,0,,
Melissa R. Head,Melissa R. Head,2,2,5,10,6,4,134.0,0.8240921286857434,-5.0,3.0,4.90527477843843,1.0986122886681098,1.6094379124341003,0.6010823995244813,4,2.0,8.0
William Marsiglio,William Marsiglio,1,6,2,1,7,7,225.0,0.05520802486803149,1.71428571429,1.1666666666666667,5.420534999272286,0.6931471805599453,2.0794415416798357,0.05373792746031276,1,7.0,1.0
Jan O. Jonsson,Jan Ö. Jönsson,3,5,8,7,8,6,117.0,-0.5126241273338529,3.0,1.6,4.770684624465665,1.3862943611198906,1.9459101490553132,-0.7187196411374606,9,,
John Lee,John Lee,1,1,2,5,1,1,100.0,-0.0671685692691586,-1.0,1.0,4.61512051684126,0.6931471805599453,0.6931471805599453,-0.06953076891622272,1,1.0,5.0
Cecilia L. Ridgeway,Cecilia L. Ridgeway,9,6,7,9,12,11,506.0,-0.14233503853776416,3.36363636364,2.0,6.2285110035911835,2.302585092994046,2.4849066497880004,-0.15354174356064323,81,8.0,6.0
Griff Tester,Griff Tester,0,1,0,1,3,3,77.0,0.07105780711442722,-3.66666666667,3.0,4.356708826689592,0.0,1.3862943611198906,0.06864676490577683,0,3.0,1.0
Suzanne Bartle Haring,,0,1,0,0,1,1,65.0,0.07442574857369536,0.0,1.0,4.189654742026425,0.0,0.6931471805599453,0.07178633147741299,0,,
Kristin L. Anderson,Kristin L. Anderson,0,3,0,0,3,3,71.0,-0.13314150132436323,-1.0,1.0,4.276666119016055,0.0,1.3862943611198906,-0.14287952350804606,0,3.0,0.0
Nicholas A. Christakis,Nicholas A. Christakis,3,4,3,6,7,7,1065.0,-0.04761453958784478,1.42857142857,1.75,6.97166860472579,1.3862943611198906,2.0794415416798357,-0.04878543074787168,9,6.0,5.0
Thoroddur Bjarnason,Þóroddur Bjarnason,0,3,0,8,8,7,49.0,-0.03145255820904562,-0.285714285714,2.6666666666666665,3.912023005428146,0.0,2.0794415416798357,-0.03195781252225354,0,,
Eva Bernhardt,Éva Bernhardt,0,2,0,1,3,3,67.0,-0.931174356591305,-0.333333333333,1.5,4.219507705176107,0.0,1.3862943611198906,-2.67617887952357,0,,
Susan Thistle,Susan Thistle,1,1,4,1,0,0,4.0,0.017621392720716007,0.0,0.0,1.6094379124341003,0.6931471805599453,0.0,0.017467936103575755,1,0.0,1.0
Eleanor Singer,Eleanor Singer,1,1,2,0,0,0,3.0,0.03448201179460898,0.0,0.0,1.3862943611198906,0.6931471805599453,0.0,0.03390082974354277,1,,
Yinon Cohen,Yinon Cohen,3,2,6,0,1,1,88.0,-0.05494902305831285,0.0,0.5,4.48863636973214,1.3862943611198906,0.6931471805599453,-0.05651640908967445,9,1.0,0.0
Donald W. Light,Donald W. Light,1,1,2,0,0,0,7.0,-0.884734380621056,0.0,0.0,2.0794415416798357,0.6931471805599453,0.0,-2.160516080223617,1,,
Richard A. Peterson,Richard A. Peterson,2,2,4,19,2,2,392.0,-0.23697544084069888,0.5,1.0,5.973809611869261,1.0986122886681098,1.0986122886681098,-0.27046506058882147,4,0.0,17.0
Maureen Perry Jenkins,,2,3,7,4,6,6,478.0,-0.2875665784539293,-1.16666666667,2.0,6.171700597410915,1.0986122886681098,1.9459101490553132,-0.33906881464955335,4,,
Tina L. Mason,Tina L. Mason,0,1,0,0,2,2,146.0,0.09856793492897914,0.0,2.0,4.990432586778736,0.0,1.0986122886681098,0.09400745428850296,0,2.0,0.0
Andrew O. Behnke,Andrew O. Behnke,0,1,0,1,3,3,48.0,-0.011905039086282833,-1.0,3.0,3.8918202981106265,0.0,1.3862943611198906,-0.011976471567812362,0,3.0,1.0
Libby Balter Blume,Libby Balter Blume,0,1,0,0,1,1,21.0,0.011068285521825523,0.0,1.0,3.091042453358316,0.0,0.6931471805599453,0.01100748031117323,0,1.0,0.0
Monica Kirkpatrick Johnson,Monica Kirkpatrick Johnson,5,6,5,7,9,6,270.0,-0.17029951499812063,-0.666666666667,1.5,5.602118820879701,1.791759469228055,1.9459101490553132,-0.18669050476117113,25,5.0,6.0
Hongxin Zhao,Hongxin Zhao,0,1,0,2,1,1,502.0,1.1578597366311982,-7.0,1.0,6.220590170099739,0.0,0.6931471805599453,0.7691168677963955,0,1.0,2.0
Sara Goldrick Rab,,2,2,4,5,1,1,214.0,-0.16829374645064915,1.0,0.5,5.3706380281276624,1.0986122886681098,0.6931471805599453,-0.18427596113930866,4,,
Hiromi Ono,Hiromi Ono,0,6,0,14,3,3,240.0,-0.11636778140182635,3.33333333333,0.5,5.484796933490655,0.0,1.3862943611198906,-0.12371434522386561,0,2.0,13.0
Clarence C. Gravlee,Clarence C. Gravlee,0,1,0,0,0,0,45.0,-0.20653266873552553,0.0,0.0,3.828641396489095,0.0,0.0,-0.23134291029234239,0,,
Kevin M. Fitzpatrick,Kevin M. Fitzpatrick,0,1,0,1,1,1,50.0,-0.024834139966269826,0.0,1.0,3.9318256327243257,0.0,0.6931471805599453,-0.02514770959673302,0,1.0,1.0
Abraham Yogev,Abraham Yogev,0,1,0,2,3,3,17.0,0.006732614530053377,-2.33333333333,3.0,2.8903717578961645,0.0,1.3862943611198906,0.006710051695478282,0,3.0,2.0
Charles Kurzman,Charles Kurzman,6,4,6,6,6,6,77.0,0.045674180946275525,1.83333333333,1.5,4.356708826689592,1.9459101490553132,1.9459101490553132,0.04466182662835912,36,6.0,6.0
Eric Loken,Eric Loken,0,1,0,6,1,1,27.0,-0.009087679881002038,-2.0,1.0,3.332204510175204,0.0,0.6931471805599453,-0.009129224732896504,0,1.0,6.0
Anna Curtis,Anna Curtis,0,1,0,3,2,2,16.0,-0.29829719829486007,-3.0,2.0,2.833213344056216,0.0,1.0986122886681098,-0.3542453239926033,0,2.0,3.0
Elizabeth Aranda,Elizabeth Aranda,0,1,0,2,2,2,50.0,0.020244129261998443,-1.0,2.0,3.9318256327243257,0.0,1.0986122886681098,0.02004194107207758,0,2.0,2.0
Deborah E. Kessel,Deborah E. Kessel,0,1,0,0,1,1,52.0,-0.06114607316752664,0.0,1.0,3.970291913552122,0.0,0.6931471805599453,-0.06309537435370066,0,1.0,0.0
Andrew Halpern Manners,,0,1,0,3,2,2,10.0,-0.024298755296790937,-7.0,2.0,2.3978952727983707,0.0,1.0986122886681098,-0.024598841166259627,0,,
David Willer,David Willer,5,6,5,6,8,8,59.0,-0.07421904923107095,2.75,1.3333333333333333,4.0943445622221,1.791759469228055,2.1972245773362196,-0.07711762656454328,25,6.0,4.0
Christian Steglich,Christian Steglich,2,1,4,0,1,1,123.0,-0.19728748525239842,0.0,1.0,4.820281565605037,1.0986122886681098,0.6931471805599453,-0.21975864315064172,4,1.0,0.0
Lori A. McGraw,Lori A. McGraw,0,2,0,4,3,2,24.0,0.18305626373239828,0.0,1.5,3.2188758248682006,0.0,1.0986122886681098,0.16810114407865306,0,2.0,4.0
Courtney P. Pierce,Courtney P. Pierce,0,1,0,1,3,3,90.0,-0.009024153687423916,-2.66666666667,3.0,4.51085950651685,0.0,1.3862943611198906,-0.009065117994003908,0,3.0,1.0
Richard Breen,Richard Breen,5,5,4,7,6,4,117.0,-0.5126241273338529,2.75,1.2,4.770684624465665,1.791759469228055,1.6094379124341003,-0.7187196411374606,25,2.0,5.0
Terry McDonnell,Terry McDonnell,1,1,2,0,2,2,41.0,1.1750305669264427,-1.0,2.0,3.7376696182833684,0.6931471805599453,1.0986122886681098,0.7770427182011783,1,2.0,0.0
Thomas J. Scheff,Thomas J. Scheff,1,2,1,0,0,0,231.0,3.912203411180339,0.0,0.0,5.44673737166631,0.6931471805599453,0.0,1.5917226010583425,1,,
Marc N. Elliott,Marc N. Elliott,0,1,0,1,3,3,61.0,-0.3353399186613163,-0.333333333333,3.0,4.127134385045092,0.0,1.3862943611198906,-0.40847952489266465,0,3.0,1.0
Jeanne Batalova,Jeanne Batalova,2,3,3,2,3,3,246.0,-0.3300636829405109,-1.66666666667,1.0,5.5093883366279774,1.0986122886681098,1.3862943611198906,-0.4005726202795251,4,2.0,1.0
Aaron Gullickson,Aaron Gullickson,2,1,2,1,0,0,48.0,-0.223518222051753,0.0,0.0,3.8918202981106265,1.0986122886681098,0.0,-0.2529821035737738,4,0.0,1.0
Martin Seeleib Kaiser,,1,1,1,6,2,2,125.0,-0.15166713429643125,-5.5,2.0,4.836281906951478,0.6931471805599453,1.0986122886681098,-0.1644821898992898,1,,
John P. Robinson,John P. Robinson,1,3,2,1,9,8,844.0,0.4223511241046826,-1.375,3.0,6.739336627357174,0.6931471805599453,2.1972245773362196,0.3523112236184319,1,8.0,1.0
Dana Vannoy,Dana Vannoy,0,1,0,0,1,1,37.0,-0.04605005532659568,-1.0,1.0,3.6375861597263857,0.0,0.6931471805599453,-0.04714407780619379,0,1.0,0.0
Kristopher K. Robison,Kristopher K. Robison,0,2,0,0,2,2,41.0,-0.04951193273724648,-2.0,1.0,3.7376696182833684,0.0,1.0986122886681098,-0.050779671301049205,0,2.0,0.0
David Smilde,David Smilde,1,1,1,7,0,0,38.0,-0.03915237703556972,0.0,0.0,3.6635616461296463,0.6931471805599453,0.0,-0.039939443495057535,1,0.0,7.0
Philip Mancus,Philip Mancus,0,1,0,0,1,1,25.0,-0.1458843547389121,-2.0,1.0,3.258096538021482,0.0,0.6931471805599453,-0.15768867836489556,0,1.0,0.0
Christopher J. Einolf,Christopher J. Einolf,0,2,0,3,0,0,64.0,-0.05448644531055998,0.0,0.0,4.174387269895637,0.0,0.0,-0.05602705498486133,0,0.0,3.0
Johannes Kleibl,Johannes Kleibl,0,1,0,0,2,2,15.0,-0.07832329646066892,0.0,2.0,2.772588722239781,0.0,1.0986122886681098,-0.08156076383701469,0,2.0,0.0
Jeffrey C. Johnson,Jeffrey C. Johnson,2,1,5,0,1,1,26.0,-0.084828835123574,0.0,1.0,3.295836866004329,1.0986122886681098,0.6931471805599453,-0.08864416576245626,4,1.0,0.0
Yang Cao,Yang Cao,1,3,2,9,1,1,73.0,-0.1538720050813281,2.0,0.3333333333333333,4.30406509320417,0.6931471805599453,0.6931471805599453,-0.16708463658962291,1,1.0,9.0
Elton F. Jackson,Elton F. Jackson,0,1,0,2,0,0,123.0,-0.11121887357370928,0.0,0.0,4.820281565605037,0.0,0.0,-0.1179042757760927,0,0.0,2.0
Amanda Sacker,Amanda Sacker,0,2,0,0,4,3,17.0,-0.06752607813960004,0.666666666667,2.0,2.8903717578961645,0.0,1.3862943611198906,-0.0699140936885689,0,3.0,0.0
Ronald P. Rohner,Ronald P. Rohner,1,1,1,0,1,1,210.0,0.533577076087725,0.0,1.0,5.351858133476067,0.6931471805599453,0.6931471805599453,0.42760296485962146,1,1.0,0.0
Kimberly A. Goyette,Kimberly A. Goyette,5,4,8,12,4,4,324.0,-0.3188824828899622,2.0,1.0,5.783825182329737,1.791759469228055,1.6094379124341003,-0.38402042221367555,25,3.0,11.0
Bridget J. Goosby,Bridget J. Goosby,2,1,1,0,1,1,15.0,-0.046459313402484374,-5.0,1.0,2.772588722239781,1.0986122886681098,0.6931471805599453,-0.04757318406282144,4,1.0,0.0
Martin King Whyte,Martin King Whyte,4,1,7,1,0,0,40.0,0.11761411477059881,0.0,0.0,3.713572066704308,1.6094379124341003,0.0,0.11119615841790569,16,0.0,1.0
Kristen Schultz Lee,Kristen Schultz Lee,0,2,0,5,1,1,6.0,0.08622440265368606,-2.0,0.5,1.9459101490553132,0.0,0.6931471805599453,0.08270783244403061,0,1.0,5.0
Francesco Giudici,Francesco Giudici,0,1,0,0,3,3,7.0,0.0407578315335548,0.0,3.0,2.0794415416798357,0.0,1.3862943611198906,0.039949131958755324,0,3.0,0.0
Chrystyna D. Kouros,Chrystyna D. Kouros,0,1,0,0,2,2,33.0,-0.01825891070027794,-1.0,2.0,3.5263605246161616,0.0,1.0986122886681098,-0.01842766190875599,0,2.0,0.0
John H. Evans,John H. Evans,9,1,12,2,1,1,89.0,-0.21478547239373624,0.0,1.0,4.499809670330265,2.302585092994046,0.6931471805599453,-0.24179831496002457,81,1.0,2.0
